ROM variant detected: ntsc-final
🎮 EXTRACTING FILES FROM NTSC-FINAL ROM
============================================================
Found 2015 file offset entries
Found 2014 file names

📋 DETAILED FILE LISTING (2014 files)
--------------------------------------------------------------------------------
Idx Type     Category  Size      Uncomp    Name
--------------------------------------------------------------------------------
  0       unknown     14.8M     14.8M  
  1       bgdata       512B      512B  bgdata/bg_sev.seg
  2       bgdata       512B      512B  bgdata/bg_silo.seg
  3       bgdata       512B      512B  bgdata/bg_stat.seg
  4       bgdata      20.2K     20.2K  bgdata/bg_arec.seg
  5       bgdata       512B      512B  bgdata/bg_arch.seg
  6       bgdata       512B      512B  bgdata/bg_tra.seg
  7       bgdata       512B      512B  bgdata/bg_dest.seg
  8       bgdata       512B      512B  bgdata/bg_sevb.seg
  9       bgdata     171.2K    171.2K  bgdata/bg_azt.seg
 10       bgdata     120.4K    120.4K  bgdata/bg_pete.seg
 11       bgdata     102.8K    102.8K  bgdata/bg_depo.seg
 12       bgdata      37.1K     37.1K  bgdata/bg_ref.seg
 13       bgdata      33.0K     33.0K  bgdata/bg_cryp.seg
 14       bgdata     308.2K    308.2K  bgdata/bg_dam.seg
 15       bgdata       512B      512B  bgdata/bg_ark.seg
 16       bgdata       512B      512B  bgdata/bg_run.seg
 17       bgdata       512B      512B  bgdata/bg_sevx.seg
 18       bgdata      18.0K     18.0K  bgdata/bg_jun.seg
 19       bgdata     163.0K    163.0K  bgdata/bg_dish.seg
 20       bgdata     185.7K    185.7K  bgdata/bg_cave.seg
 21       bgdata       512B      512B  bgdata/bg_cat.seg
 22       bgdata      41.3K     41.3K  bgdata/bg_crad.seg
 23       bgdata     219.8K    219.8K  bgdata/bg_sho.seg
 24       bgdata     227.8K    227.8K  bgdata/bg_eld.seg
 25       bgdata       512B      512B  bgdata/bg_imp.seg
 26       bgdata       1.6K      1.6K  bgdata/bg_ash.seg
 27       bgdata     455.7K    455.7K  bgdata/bg_lue.seg
 28       bgdata     253.3K    253.3K  bgdata/bg_ame.seg
 29       bgdata     264.0K    264.0K  bgdata/bg_rit.seg
 30       bgdata      39.6K     39.6K  bgdata/bg_oat.seg
 31       bgdata     192.5K    192.5K  bgdata/bg_ear.seg
 32       bgdata     303.4K    303.4K  bgdata/bg_lee.seg
 33       bgdata       512B      512B  bgdata/bg_lip.seg
 34       bgdata       512B      512B  bgdata/bg_len.seg
 35       bgdata       512B      512B  bgdata/bg_wax.seg
 36       bgdata     347.1K    347.1K  bgdata/bg_pam.seg
 37       bgdata       512B      512B  bgdata/bg_uff.seg
 38       bgdata       512B      512B  bgdata/bg_old.seg
 39       bgdata       512B      512B  bgdata/bg_ate.seg
 40       bgdata       512B      512B  bgdata/bg_lam.seg
 41       bgdata      38.0K     38.0K  bgdata/bg_mp1.seg
 42       bgdata       512B      512B  bgdata/bg_mp2.seg
 43       bgdata      35.8K     35.8K  bgdata/bg_mp3.seg
 44       bgdata      39.8K     39.8K  bgdata/bg_mp4.seg
 45       bgdata      32.5K     32.5K  bgdata/bg_mp5.seg
 46       bgdata       512B      512B  bgdata/bg_mp6.seg
 47       bgdata       512B      512B  bgdata/bg_mp7.seg
 48       bgdata       512B      512B  bgdata/bg_mp8.seg
 49       bgdata      48.9K     48.9K  bgdata/bg_mp9.seg
 50       bgdata      46.8K     46.8K  bgdata/bg_mp10.seg
 51       bgdata      58.4K     58.4K  bgdata/bg_mp11.seg
 52       bgdata      87.4K     87.4K  bgdata/bg_mp12.seg
 53       bgdata      47.7K     47.7K  bgdata/bg_mp13.seg
 54       bgdata       512B      512B  bgdata/bg_mp14.seg
 55       bgdata      22.9K     22.9K  bgdata/bg_mp15.seg
 56       bgdata       512B      512B  bgdata/bg_mp16.seg
 57       bgdata       512B      512B  bgdata/bg_mp17.seg
 58       bgdata       512B      512B  bgdata/bg_mp18.seg
 59       bgdata       512B      512B  bgdata/bg_mp19.seg
 60       bgdata       512B      512B  bgdata/bg_mp20.seg
 61       objects        0B        0B  ob/ob_mid.seg
 62  Z    chrs        58.5K    153.2K  Ca51guardZ
 63  Z    chrs        15.9K     43.9K  Carea51guardZ
 64  Z    chrs        17.7K     51.8K  CcarringtonZ
 65  Z    chrs        20.1K     61.0K  CcassandraZ
 66  Z    chrs        13.7K     37.6K  Cdark_combatZ
 67  Z    chrs        14.4K     39.6K  Cdark_frockZ
 68  Z    chrs        21.2K     64.4K  Cdark_trenchZ
 69  Z    chrs        15.9K     44.8K  CddshockZ
 70  Z    chrs        14.4K     45.0K  Cdd_secguardZ
 71  Z    chrs        14.0K     39.6K  CdjbondZ
 72  Z    chrs         4.5K     14.9K  CdrcarrollZ
 73  Z    chrs        49.6K    116.1K  CelvisZ
 74  Z    chrs        16.0K     43.3K  Celvis1Z
 75  Z    chrs         3.7K     10.8K  CeyespyZ
 76  Z    chrs        14.8K     46.9K  Cfem_guardZ
 77  Z    chrs        15.4K     47.4K  ClabtechZ
 78  Z    chrs        21.9K     64.6K  CmrblondeZ
 79  Z    chrs        13.9K     44.4K  CofficeworkerZ
 80  Z    chrs        13.9K     44.3K  Cofficeworker2Z
 81  Z    chrs        14.9K     44.7K  CoverallZ
 82  Z    chrs        14.5K     45.7K  CsecretaryZ
 83  Z    chrs        20.0K     58.9K  CskedarZ
 84  Z    chrs        15.5K     48.4K  CstripesZ
 85  Z    chrs        63.8K    147.8K  CtestchrZ
 86  Z    chrs        15.9K     43.3K  CthekingZ
 87  Z    chrs        19.5K     59.0K  CtrentZ
 88  Z    guns         3.7K      6.9K  GcartblueZ
 89  Z    guns         2.0K      6.2K  GcartridgeZ
 90  Z    guns         7.7K     14.4K  GcartrifleZ
 91  Z    guns         2.2K      6.5K  GcartshellZ
 92  Z    guns         9.9K     25.8K  GjoypadZ
 93  Z    props        314B      656B  Pa51_crate1Z
 94  Z    props        328B      640B  Pa51_crate2Z
 95  Z    props        297B      608B  Pa51_crate3Z
 96  Z    props        830B      1.4K  Pa51_exp1Z
 97  Z    props        1.4K      2.5K  Pa51_exp2Z
 98  Z    props        691B      1.3K  Pa51_horiz_door_botZ
 99  Z    props        841B      1.6K  Pa51_horiz_door_glZ
100  Z    props        420B      704B  Pa51_horiz_door_secretZ
101  Z    props        694B      1.3K  Pa51_horiz_door_topZ
102  Z    props        805B      1.8K  Pa51_lift_controlZ
103  Z    props        2.9K      8.9K  Pa51_lift_hangarZ
104  Z    props        483B      928B  Pa51_lift_storeZ
105  Z    props        516B      984B  Pa51_lift_thinwallZ
106  Z    props        3.9K      9.5K  Pa51_unexp1Z
107  Z    props        614B      968B  Pa51_unexp2Z
108  Z    props        507B     1000B  Pa51_unexp3Z
109  Z    props        753B      1.4K  Pa51_vert_door_leftZ
110  Z    props        782B      1.5K  Pa51_vert_door_rightZ
111  Z    props        784B      1.5K  Pa51_vert_door_stZ
112  Z    props        859B      1.8K  Pa51boardZ
113  Z    props        780B      1.6K  Pa51chairZ
114  Z    props        582B      1.1K  Pa51deskentZ
115  Z    props        508B      920B  Pa51divideZ
116  Z    props        557B      1.0K  Pa51screenZ
117  Z    props        703B      1.3K  Pa51tableZ
118  Z    props        1.1K      2.3K  Pa51trolleyZ
119  Z    props        540B      1.0K  Pa51wastebinZ
120  Z    props        576B      1.0K  Paivillabot1Z
121  Z    props        607B      1.1K  Paivillabot2Z
122  Z    props        544B      1.0K  Paivillabot3Z
123  Z    props        4.3K      6.4K  Paivilladoor1Z
124  Z    props        3.6K      6.2K  Paivilladoor2aZ
125  Z    props        2.5K      3.8K  Paivilladoor4Z
126  Z    props        2.7K      5.6K  PaivillawindmillZ
127  Z    props        6.4K     12.6K  Pal_airlockZ
128  Z    props        644B      1.3K  Pal_dockliftZ
129  Z    props        4.1K      6.6K  Paldoor_lZ
130  Z    props        4.0K      6.5K  Paldoor_rZ
131  Z    props        310B      584B  Pborg_crateZ
132  Z    props        6.5K     15.0K  PcaseZ
133  Z    props        316B      512B  Pch_shutter1Z
134  Z    props        6.4K     14.9K  PchrbriefcaseZ
135  Z    props        2.3K      5.4K  PchrbugZ
136  Z    props        1.4K      2.6K  PchrdatathiefZ
137  Z    props        336B      640B  Pcryptdoor1bZ
138  Z    props        444B      696B  Pdd_ac_expZ
139  Z    props        2.2K      5.5K  Pdd_ac_unexpZ
140  Z    props        843B      1.3K  Pdd_acbot_expZ
141  Z    props        313B      472B  Pdd_acbot_unexpZ
142  Z    props        676B      1.5K  Pdd_bannerZ
143  Z    props        701B      1.3K  Pdd_chairZ
144  Z    props        546B      1.3K  Pdd_decodoorZ
145  Z    props        499B      920B  Pdd_deskZ
146  Z    props        495B      920B  Pdd_fanroofZ
147  Z    props        595B      1.1K  Pdd_fanwallZ
148  Z    props        977B      1.9K  Pdd_hovcabZ
149  Z    props        923B      1.8K  Pdd_hovcarZ
150  Z    props        1.1K      2.1K  Pdd_hovcopZ
151  Z    props        6.1K     14.4K  Pdd_hovercopterZ
152  Z    props        947B      1.8K  Pdd_hovmotoZ
153  Z    props       1012B      2.0K  Pdd_hovtruckZ
154  Z    props        1.2K      3.3K  Pdd_lab_cautionZ
155  Z    props        855B      1.9K  Pdd_lab_cautiontopZ
156  Z    props        584B      1.2K  Pdd_lab_door_bsZ
157  Z    props        311B      576B  Pdd_lab_door_secZ
158  Z    props        1.3K      3.3K  Pdd_lab_door_windZ
159  Z    props        1.1K      2.7K  Pdd_lab_hazardZ
160  Z    props        880B      1.9K  Pdd_lab_restrictedZ
161  Z    props        883B      2.0K  Pdd_lab_sector2botZ
162  Z    props        855B      1.9K  Pdd_lab_sector2topZ
163  Z    props        962B      2.6K  Pdd_lab_sector3Z
164  Z    props        855B      1.9K  Pdd_lab_sector3topZ
165  Z    props        1.2K      3.3K  Pdd_lab_sector3windZ
166  Z    props        855B      1.9K  Pdd_lab_sector4topZ
167  Z    props        448B      960B  Pdd_liftdoorZ
168  Z    props        998B      2.2K  Pdd_liftrZ
169  Z    props        818B      1.6K  Pdd_officedoorZ
170  Z    props        1.1K      2.3K  Pdd_plantrubberZ
171  Z    props        594B      1.0K  Pdd_plantspiderZ
172  Z    props        690B      1.1K  Pdd_plantspikeZ
173  Z    props        665B      1.3K  Pdd_redarmZ
174  Z    props        764B      1.4K  Pdd_redsofaZ
175  Z    props        419B      736B  Pdd_secretdoorZ
176  Z    props        345B      680B  Pdd_secretdoor2Z
177  Z    props        547B      976B  Pdd_servicedoorZ
178  Z    props        874B      1.7K  Pdd_stonedeskZ
179  Z    props        271B      432B  Pdd_vertblindZ
180  Z    props        668B      1.4K  Pdd_winddoorZ
181  Z    props        238B      400B  Pdd_windowZ
182  Z    props        7.0K     16.0K  PddjumpshipZ
183  Z    props        884B      1.6K  Pdoor1a_G5Z
184  Z    props        348B      584B  Pdoor1atri_G5Z
185  Z    props        799B      1.4K  Pdoor1b_G5Z
186  Z    props        602B      1.4K  Pdoor2_G5Z
187  Z    props        328B      624B  Pdoor2a_G5Z
188  Z    props        731B      1.8K  Pdoor4a_G5Z
189  Z    props        621B      1.4K  Pdoor4b_G5Z
190  Z    props        273B      472B  Pdoor_rollertrainZ
191  Z    props        822B      2.1K  PdoorconsoleZ
192  Z    props        1.4K      3.9K  Pdr_caroll_doorZ
193  Z    props        2.1K      5.0K  Pdr_caroll_door_baseZ
194  Z    props        947B      2.0K  Pdr_caroll_door_bleftZ
195  Z    props        989B      2.0K  Pdr_caroll_door_bmainZ
196  Z    props        971B      2.0K  Pdr_caroll_door_brightZ
197  Z    props        718B      1.6K  Pdr_caroll_door_leftZ
198  Z    props        716B      1.7K  Pdr_caroll_door_mainZ
199  Z    props        721B      1.6K  Pdr_caroll_door_rightZ
200  Z    props       12.3K     28.2K  PdropshipZ
201  Z    props        562B      1.1K  PdumpsterZ
202       props          0B        0B  PexplosionbitZ
203  Z    props        319B      560B  PflagZ
204  Z    props        296B      536B  Pg5_escdoordownZ
205  Z    props        1.3K      3.2K  Pg5_escdoordownboomZ
206  Z    props        303B      544B  Pg5_escdoorupZ
207  Z    props        1.3K      3.2K  Pg5_escdoorupboomZ
208  Z    props        375B      736B  Pg5_mainframeZ
209  Z    props       1013B      2.2K  Pg5safedoorZ
210  Z    props        1.4K      3.6K  Pg5carliftdoorZ
211  Z    props        4.2K     10.5K  PgoldeneyelogoZ
212  Z    props        555B      1.0K  PhooverbotZ
213  Z    props        4.2K      8.7K  PhovbikeZ
214  Z    props        7.7K     18.5K  PhoverbedZ
215  Z    props        1.1K      2.5K  Phovercrate1Z
216  Z    props        216B      384B  PlasdoorZ
217  Z    props        1.8K      3.9K  PmarkerZ
218  Z    props        359B      560B  Pmedlabwin1Z
219  Z    props        359B      560B  Pmedlabwin2Z
220  Z    props        677B      1.3K  PmodemboxZ
221  Z    props       13.4K     32.7K  PnintendologoZ
222  Z    props        6.7K     45.2K  Pnlogo2Z
223  Z    props        6.8K     24.3K  Pnlogo3Z
224  Z    props       15.2K     62.3K  PnlogoZ
225  Z    props        860B      1.7K  Ppc1Z
226  Z    props       17.8K     57.2K  PpdfourZ
227  Z    props       10.2K     23.3K  PpdoneZ
228  Z    props       17.1K     63.1K  PpdthreeZ
229  Z    props       14.6K     65.2K  PpdtwoZ
230  Z    props       14.6K     39.9K  PperfectdarkZ
231  Z    props        3.9K      8.6K  PpolicecarZ
232  Z    props        453B      744B  PravineliftZ
233  Z    props        2.2K      7.4K  PropeZ
234  Z    props        4.8K     12.5K  Psk_cryopod1_botZ
235  Z    props        4.1K      9.8K  Psk_cryopod1_topZ
236  Z    props        565B      1.1K  Psk_door1Z
237  Z    props       16.4K     32.6K  Psk_fighter1Z
238  Z    props        5.2K     10.9K  Psk_hangardoor_botZ
239  Z    props        7.4K     15.2K  Psk_hangardoor_topZ
240  Z    props        1.0K      2.1K  Psk_ship_door1Z
241  Z    props        461B     1016B  Psk_ship_holo1Z
242  Z    props        334B      672B  Psk_ship_holo2Z
243  Z    props        693B      1.2K  Psk_ship_hulldoor1Z
244  Z    props        712B      1.2K  Psk_ship_hulldoor2Z
245  Z    props        528B      928B  Psk_ship_hulldoor3Z
246  Z    props        536B      928B  Psk_ship_hulldoor4Z
247  Z    props        4.4K     12.0K  Psk_under_generatorZ
248  Z    props        2.4K      5.3K  Psk_under_transZ
249  Z    props        499B      792B  Pskcrev_exp1Z
250  Z    props        2.3K      5.9K  Pskcrev_unexp1Z
251  Z    props        598B      896B  Psktnl_exp1Z
252  Z    props        576B      872B  Psktnl_unexp1Z
253  Z    props        3.9K      8.4K  PtaxicabZ
254  Z    props        970B      1.9K  PtesterbotZ
255  Z    props       31.1K     82.5K  PtestobjZ
256  Z    props        197B      344B  PtvscreenZ
257  Z    props        239B      400B  PwindowZ
258  Z    setup         32B       64B  Ump_setupameZ
259  Z    setup         27B       64B  Ump_setuparchZ
260  Z    setup        514B      6.8K  Ump_setuparecZ
261  Z    setup         29B       64B  Ump_setuparkZ
262  Z    setup         32B       64B  Ump_setupashZ
263  Z    setup         32B       64B  Ump_setupaztZ
264  Z    setup         27B       64B  Ump_setupcatZ
265  Z    setup         27B       64B  Ump_setupcaveZ
266  Z    setup        438B      5.3K  Ump_setupcradZ
267  Z    setup        395B      5.0K  Ump_setupcrypZ
268  Z    setup        759B      1.3K  Ump_setupdamZ
269  Z    setup         27B       64B  Ump_setupdepoZ
270  Z    setup         27B       64B  Ump_setupdestZ
271  Z    setup         27B       64B  Ump_setupdishZ
272  Z    setup         41B       96B  Ump_setupearZ
273  Z    setup         41B       96B  Ump_setupeldZ
274  Z    setup         32B       64B  Ump_setupimpZ
275  Z    setup        427B      6.2K  Ump_setupjunZ
276  Z    setup         41B       96B  Ump_setupleeZ
277  Z    setup         34B       80B  Ump_setuplenZ
278  Z    setup         32B       64B  Ump_setuplipZ
279  Z    setup         32B       64B  Ump_setuplueZ
280  Z    setup        446B      7.0K  Ump_setupoatZ
